Script ID,Audience,Content Pillar,Hook,Middle Section,Closing Line,Tone,Angle,CTA Type,Hook Strength
38,Perimenopause,Clarity,The hardest part is not knowing what’s causing the shift.,"LYNA gives you a clearer picture of your cycle, energy, and symptoms so you can stop second-guessing yourself.",Try LYNA and get clearer answers.,Reassuring,Support,Try app,High
39,Perimenopause,Confidence,You are not becoming less capable — your body is changing.,LYNA helps you notice those changes with less stress and more practical support.,Download LYNA and feel more in control.,Empowering,Reframe,Download,High
40,Perimenopause,Support,You deserve support that doesn’t treat your symptoms like a mystery.,"LYNA brings your energy, meals, and cycle data together so the story becomes easier to read.",Start with LYNA and see the full picture.,Calm,Educational,Download,High
41,Athletes,Strength,Your strength changes every week — and that’s not a flaw.,"LYNA helps you track cycle phase, training recovery, and nutrition so you can understand why performance shifts and what to do about it.",Download LYNA and train smarter.,Empowering,Performance,Download,High
42,Athletes,Workout variation,"If some workouts feel amazing and others feel impossible, your cycle may be the missing piece.",LYNA connects your meals and hormonal phase so you can fuel more intentionally through training changes.,Try LYNA and see the difference.,Practical,Educational,Try app,High
43,Athletes,Recovery,Recovery isn’t supposed to feel the same every week.,"LYNA helps you spot when your body needs more food, more rest, or more support based on where you are in your cycle.",Start using LYNA and stop guessing.,Smart,Recovery,Download,High
44,Athletes,Performance data,"If you PR in one phase and struggle in another, you’re probably not broken.","LYNA shows how cycle shifts can affect energy, endurance, and fueling needs, which makes your training data finally feel useful.",Download LYNA and work with your physiology.,Empowering,Data,Download,High
45,Athletes,Gym fatigue,Suddenly exhausted at the gym? That’s worth paying attention to.,LYNA helps you connect workout performance with cycle phase and meal quality so you can adjust before burnout shows up.,Try LYNA and fuel with intention.,Direct,Educational,Try app,High
46,Athletes,Training smarter,More effort is not always the answer.,"Sometimes the better move is understanding how your cycle changes your recovery, nutrition, and output — and LYNA is built for exactly that.",Download LYNA and start training with your body.,Smart,Reframe,Download,High
47,Athletes,Fueling,Your fueling needs change throughout your cycle.,"LYNA helps you see when your body needs more carbs, more recovery, or more support based on your phase.",Try LYNA and eat for the work you’re doing.,Practical,Educational,Try app,High
48,Athletes,Endurance,Why does your pace change so much across the month?,LYNA connects training performance with cycle phase and meals so you can understand the shifts instead of fighting them.,Download LYNA and make the data useful.,Curious,Data,Download,High
49,Athletes,Consistency,Consistency gets easier when your plan matches your physiology.,LYNA helps you sync your nutrition and recovery to your cycle so your training feels more sustainable.,Start with LYNA and train with your body.,Empowering,Support,Download,High
50,Athletes,Recovery shifts,Your body may need different support than it did last week.,"LYNA shows you how recovery changes across your cycle so you can respond with food, rest, and training adjustments that fit.",Try LYNA and start recovering smarter.,Smart,Educational,Try app,High
51,PCOS,Meal timing,"If breakfast leaves you hungry an hour later, pay attention.","LYNA shows how your cycle phase can change what keeps you full, energized, and stable through the day.",Try LYNA and test your next breakfast.,Direct,Educational,Try app,High
52,PCOS,Sugar crashes,That 4pm sugar crash may not be random.,"LYNA helps you connect cravings to your meals, cycle phase, and energy dips so you can make smarter food choices.",Download LYNA and spot the trigger.,Calm,Data,Download,High
53,PCOS,Inflammation,"If you feel puffy and inflamed for no obvious reason, your cycle may be part of it.",LYNA gives you a clearer view of how food and hormones interact across the month.,Start with LYNA and track the pattern.,Reassuring,Educational,Download,High
54,PCOS,Consistency,The reason consistency feels so hard is that your body changes every week.,LYNA helps you adjust meals to your cycle instead of forcing one plan for every phase.,Try LYNA and make consistency easier.,Empowering,Reframe,Try app,High
55,PCOS,Energy support,You may not need more discipline — you may need better cycle support.,LYNA helps you see which foods help your energy and which ones leave you running on empty.,Download LYNA and fuel with more clarity.,Validating,Support,Download,High
56,PCOS,Hunger tracking,Your hunger isn’t the problem — the pattern is.,LYNA helps you understand when your appetite is changing and why it feels different from week to week.,Try LYNA and start tracking the pattern.,Calm,Educational,Track,High
57,PCOS,Meal scans,One meal can look healthy and still not match what your body needs today.,LYNA scans your meals and shows how well they fit your cycle phase right now.,Download LYNA and see the difference.,Smart,Data,Scan meal,High
58,PCOS,Blood sugar,"If your mood crashes when your energy crashes, look at your plate.","LYNA helps you connect meals, blood sugar swings, and cycle phase so you can stabilize your day.",Try LYNA and connect the dots.,Direct,Educational,Try app,High
59,PCOS,Body signals,Your body is giving you data every day.,LYNA helps you turn that data into something useful instead of something frustrating.,Start with LYNA and understand the signal.,Empowering,Data,Download,High
60,PCOS,Food and symptoms,Sometimes the symptom is the message.,LYNA helps you track symptoms alongside meals so you can see what might actually be going on.,Download LYNA and stop guessing.,Calm,Validation,Download,High
61,Endometriosis,Trigger tracking,You may be reacting to a pattern you haven’t seen yet.,"LYNA helps you identify foods, energy dips, and cycle-linked symptoms that could be connected to flare days.",Download LYNA and look for the trigger.,Smart,Data,Download,High
62,Endometriosis,Validation,"Your pain is real, even when it comes and goes.",LYNA gives you a simple way to log the days that matter so you feel more supported and less dismissed.,Try LYNA and track what your body is saying.,Compassionate,Validation,Track symptoms,High
63,Endometriosis,Rest,Rest is not laziness when your body is asking for it.,LYNA helps you see patterns in your energy so you can protect your schedule before the crash hits.,Download LYNA and plan ahead.,Gentle,Support,Download,High
64,Endometriosis,Compassion,You shouldn’t have to explain your pain to yourself every month.,"LYNA brings your symptoms, meals, and cycle into one place so it’s easier to understand what’s happening.",Start with LYNA and get more clarity.,Reassuring,Educational,Download,High
65,Endometriosis,Pacing,Pushing through is not always the smartest move.,LYNA helps you spot when your body is asking for a slower day so you can protect your energy early.,Try LYNA and pace yourself better.,Gentle,Support,Try app,High
66,Endometriosis,Forecasting,The best flare plan is the one you make before you need it.,LYNA helps you predict low-energy days using your tracked patterns so you can prepare in advance.,Download LYNA and get ahead of the next flare.,Calm,Prediction,Download,High
67,Endometriosis,Food support,What you eat can make hard days feel a little less hard.,LYNA helps you track meals and symptoms together so you can see which foods support you best.,Try LYNA and watch the patterns.,Supportive,Educational,Try app,High
68,Endometriosis,Daily logs,Tiny logs can reveal big patterns.,"LYNA makes it easy to track pain, energy, and food so your history starts working for you.",Download LYNA and start logging simply.,Smart,Data,Download,High
69,Endometriosis,Cycle awareness,Your cycle may be affecting more than your cramps.,"LYNA helps you see the full picture of how symptoms, energy, and meals shift together over time.",Start using LYNA and make it visible.,Reassuring,Educational,Download,High
70,Endometriosis,Support,"You deserve tools that make you feel understood, not studied.",LYNA is built to help you track what matters without adding pressure.,Try LYNA and make support feel lighter.,Compassionate,Support,Try app,High
71,Fertility,Ovulation signs,Your body is giving you signs — you just need a clearer way to read them.,"LYNA helps you connect symptoms, meals, and cycle data so ovulation patterns become easier to notice.",Try LYNA and start seeing the clues.,Calm,Educational,Try app,High
72,Fertility,Consistency,"If your cycle feels hard to follow, you’re not doing it wrong.",LYNA turns scattered notes into one simple view of your cycle so it feels less chaotic and more useful.,Start with LYNA and simplify the process.,Reassuring,Support,Download,High
73,Fertility,Meal support,What you eat can shape how your cycle feels more than you think.,"LYNA shows how your meals align with your cycle phase so you can make small, steady changes that support your goals.",Download LYNA and connect meals to your cycle.,Educational,Data,Download,High
74,Fertility,Pattern tracking,One cycle can tell you a lot if you know what to look for.,LYNA helps you notice repeated symptoms and changes so every month gives you more clarity.,Try LYNA and track smarter this cycle.,Hopeful,Educational,Track,High
75,Fertility,Less overwhelm,You don’t need a perfect routine to learn from your cycle.,LYNA helps you gather useful insights without turning TTC into a second job.,Download LYNA and make the process lighter.,Supportive,Reframe,Download,High
76,Fertility,Fertile window,"If you’ve ever wondered whether you missed your fertile window, this is for you.",LYNA helps you track the signals your body gives so you can feel more confident about timing and patterns.,Download LYNA and make the clues easier to read.,Hopeful,Educational,Download,High
77,Fertility,Emotional support,Trying to conceive can make every symptom feel louder.,LYNA helps you organize the data that matters so you can feel less overwhelmed and more informed.,Try LYNA and take some pressure off.,Supportive,Validation,Try app,High
78,Fertility,Ovulation clarity,Ovulation isn’t always obvious — especially when your cycle is unpredictable.,"LYNA helps you connect symptoms, meals, and cycle data so the picture gets clearer over time.",Start with LYNA and track the pattern.,Calm,Data,Track,High
79,Fertility,Nutrition,Small food changes can make a bigger difference than you expect.,LYNA shows how your meals line up with your cycle so you can support your body without overthinking every bite.,Download LYNA and simplify nutrition support.,Educational,Support,Download,High
80,Fertility,Noticing patterns,"The more you track, the less random it feels.",LYNA helps you turn cycle notes into useful patterns you can actually use month to month.,Try LYNA and make the cycle feel less mysterious.,Hopeful,Educational,Try app,High
81,Perimenopause,Sleep,"If your sleep changed before your energy did, that’s worth noticing.","LYNA helps you connect sleep quality, cycle shifts, and food habits so you can understand what’s changing.",Download LYNA and track the pattern.,Calm,Data,Download,High
82,Perimenopause,Clarity,The hardest part is not knowing what’s causing the shift.,"LYNA gives you a clearer picture of your cycle, energy, and symptoms so you can stop second-guessing yourself.",Try LYNA and get clearer answers.,Reassuring,Support,Try app,High
83,Perimenopause,Confidence,You are not becoming less capable — your body is changing.,LYNA helps you notice those changes with less stress and more practical support.,Download LYNA and feel more in control.,Empowering,Reframe,Download,High
84,Perimenopause,Support,You deserve support that doesn’t treat your symptoms like a mystery.,"LYNA brings your energy, meals, and cycle data together so the story becomes easier to read.",Start with LYNA and see the full picture.,Calm,Educational,Download,High
85,Perimenopause,Mood,"If your mood feels more fragile lately, you’re not alone.","LYNA helps you track energy, sleep, and cycle changes so the emotional shifts feel less confusing.",Try LYNA and see what your body is saying.,Compassionate,Validation,Try app,High
86,Perimenopause,Brain fog,"When focus gets harder, it helps to look for the pattern.","LYNA connects meals, sleep, and cycle shifts so you can see whether your brain fog follows a trend.",Download LYNA and track the clues.,Smart,Data,Download,High
87,Perimenopause,Afternoon energy,"If the afternoon slump is getting stronger, pay attention.","LYNA helps you understand whether food, sleep, or cycle changes are driving the dip.",Start using LYNA and spot the cause.,Direct,Educational,Download,High
88,Perimenopause,Transition,The transition is easier when you can see what’s changing.,LYNA helps you track the pieces that matter so the shift feels less random and more manageable.,Try LYNA and make the transition clearer.,Reassuring,Support,Try app,High
89,Perimenopause,Body trust,It’s easier to trust your body when you can read the signals.,LYNA gives you one place to track symptoms and patterns so the signs become easier to understand.,Download LYNA and build more trust.,Calm,Educational,Download,High
90,Perimenopause,Realistic wellness,This stage doesn’t need more pressure — it needs better information.,"LYNA helps you stay realistic, supported, and informed as your body changes.",Try LYNA and make wellness more realistic.,Empowering,Reframe,Try app,High
91,Athletes,Strength,Your strength changes every week — and that’s not a flaw.,"LYNA helps you track cycle phase, training recovery, and nutrition so you can understand why performance shifts and what to do about it.",Download LYNA and train smarter.,Empowering,Performance,Download,High
92,Athletes,Workout variation,"If some workouts feel amazing and others feel impossible, your cycle may be the missing piece.",LYNA connects your meals and hormonal phase so you can fuel more intentionally through training changes.,Try LYNA and see the difference.,Practical,Educational,Try app,High
93,Athletes,Recovery,Recovery isn’t supposed to feel the same every week.,"LYNA helps you spot when your body needs more food, more rest, or more support based on where you are in your cycle.",Start using LYNA and stop guessing.,Smart,Recovery,Download,High
94,Athletes,Performance data,"If you PR in one phase and struggle in another, you’re probably not broken.","LYNA shows how cycle shifts can affect energy, endurance, and fueling needs, which makes your training data finally feel useful.",Download LYNA and work with your physiology.,Empowering,Data,Download,High
95,Athletes,Gym fatigue,Suddenly exhausted at the gym? That’s worth paying attention to.,LYNA helps you connect workout performance with cycle phase and meal quality so you can adjust before burnout shows up.,Try LYNA and fuel with intention.,Direct,Educational,Try app,High
96,Athletes,Training smarter,More effort is not always the answer.,"Sometimes the better move is understanding how your cycle changes your recovery, nutrition, and output — and LYNA is built for exactly that.",Download LYNA and start training with your body.,Smart,Reframe,Download,High
97,Athletes,Fueling,Your fueling needs change throughout your cycle.,"LYNA helps you see when your body needs more carbs, more recovery, or more support based on your phase.",Try LYNA and eat for the work you’re doing.,Practical,Educational,Try app,High
98,Athletes,Endurance,Why does your pace change so much across the month?,LYNA connects training performance with cycle phase and meals so you can understand the shifts instead of fighting them.,Download LYNA and make the data useful.,Curious,Data,Download,High
99,Athletes,Consistency,Consistency gets easier when your plan matches your physiology.,LYNA helps you sync your nutrition and recovery to your cycle so your training feels more sustainable.,Start with LYNA and train with your body.,Empowering,Support,Download,High
100,Athletes,Recovery shifts,Your body may need different support than it did last week.,"LYNA shows you how recovery changes across your cycle so you can respond with food, rest, and training adjustments that fit.",Try LYNA and start recovering smarter.,Smart,Educational,Try app,High
