Script ID,Audience,Content Pillar,Hook,Middle Section,Closing Line,Tone,Angle,CTA Type,Hook Strength,Status
28,Endometriosis,Validation,Pain that comes and goes is still real pain.,"Even when symptoms are inconsistent, the pattern can still be meaningful and worth tracking.",Comment if this feels validating.,Compassionate,Validation,Comment,High,Draft
29,Endometriosis,Rest,Rest is not laziness when your body is asking for it.,Sometimes the most useful response to a hard day is to reduce demands before the crash gets worse.,Follow for more gentle support ideas.,Gentle,Support,Follow,High,Draft
30,Endometriosis,Compassion,You should not have to explain your pain to yourself every month.,A clearer symptom history can make those changes feel less confusing and less isolating.,Save this if you live with recurring pain.,Reassuring,Support,Save,High,Draft
31,Endometriosis,Pacing,Pushing through is not always the smartest move.,A slower day can sometimes prevent a much harder day later.,Comment if pacing helps you.,Gentle,Support,Comment,High,Draft
32,Endometriosis,Forecasting,The best flare plan is the one you make before you need it.,"When you know your early warning signs, it becomes easier to rest, prepare, and adjust.",Follow for more flare-prep tips.,Calm,Prediction,Follow,High,Draft
33,Endometriosis,Food support,What you eat can make hard days feel a little less hard.,"Meals do not fix everything, but they can influence energy, digestion, and how stable you feel.",Save this if food affects your symptoms.,Supportive,Educational,Save,High,Draft
34,Endometriosis,Daily logs,Tiny logs can reveal big patterns.,"Even short notes on pain, food, and energy can show you what keeps repeating.",Comment if you track in small ways.,Smart,Data,Comment,High,Draft
35,Endometriosis,Cycle awareness,Your cycle may be affecting more than your cramps.,"Energy, digestion, and mood shifts often travel together when symptoms are cycle-linked.",Follow for more cycle symptom education.,Reassuring,Educational,Follow,High,Draft
36,Endometriosis,Support,"You deserve tools that make you feel understood, not studied.","The goal is to reduce confusion, not add more pressure.",Save this if you want gentler support.,Compassionate,Support,Save,High,Draft
37,Endometriosis,Symptom timing,"When symptoms show up at the same point every month, that matters.",Timing can be one of the clearest clues that a pattern is repeating.,Comment if your symptoms are predictable in any way.,Educational,Data,Comment,High,Draft
38,Endometriosis,Energy dips,Energy dips are often part of the story before pain peaks.,Noticing the dip early can help you respond sooner instead of reacting later.,Follow for more early-sign breakdowns.,Calm,Prediction,Follow,High,Draft
39,Endometriosis,Mood and pain,Mood shifts can be part of pain patterns too.,"Pain does not only live in the body — it can affect how supported, anxious, or depleted you feel.",Save this if pain affects your mood.,Reassuring,Educational,Save,High,Draft
40,Endometriosis,Pattern recognition,"Once you start seeing the pattern, the pain feels less random.",That sense of prediction can be a relief even before anything else changes.,Comment if pattern spotting helps you.,Hopeful,Data,Comment,High,Draft
41,Fertility,TTC clarity,Trying to understand your cycle can feel like solving a puzzle with missing pieces.,The useful part is that your body usually gives you clues — they are just easy to miss at first.,Save this if you are learning your cycle.,Hopeful,Educational,Save,High,Draft
42,Fertility,Emotional support,Cycle tracking can become emotional fast.,"When every symptom feels important, it helps to step back and look for patterns instead of panic.",Comment if TTC has felt emotional for you.,Supportive,Validation,Comment,High,Draft
43,Fertility,Body clues,Your body is often more consistent than it feels.,Ovulation-related signs can repeat in ways that become easier to spot once you know what matters.,Follow for more fertility education.,Calm,Educational,Follow,High,Draft
44,Fertility,Symptom checking,"If you are Googling every symptom, you are not alone.","That usually means you want certainty, not confusion — and the clues are often already there.",Save this if you have ever over-Googled a symptom.,Relatable,Support,Save,High,Draft
45,Fertility,Nutrition,What you eat can shape how your cycle feels more than most people realize.,"Meals can influence energy, cravings, and how steady you feel through different cycle phases.",Follow for more food-and-cycle tips.,Educational,Data,Follow,High,Draft
46,Fertility,Tracking,Tracking does not have to become a full-time job.,Simple notes done consistently often reveal more than perfect tracking done occasionally.,Comment if you keep your tracking simple.,Practical,Support,Comment,High,Draft
47,Fertility,Fertile window,A fertile window can be easier to notice when you know your own pattern.,"The body often leaves clues through changes in discharge, temperature, energy, or symptom timing.",Save this if you are learning the signs.,Hopeful,Educational,Save,High,Draft
48,Fertility,Consistency,"If your cycle feels hard to follow, that does not mean you are doing it wrong.",Many cycles are only obvious once you start comparing month to month.,Follow for more cycle pattern tips.,Reassuring,Support,Follow,High,Draft
49,Fertility,Pattern tracking,One month of tracking can tell you a lot if you know how to look at it.,Repeated signs matter more than one isolated symptom.,Comment if you want more on what to track.,Educational,Data,Comment,High,Draft
50,Fertility,Less overwhelm,You do not need perfect data to learn from your cycle.,A few clear patterns can already make the process feel less chaotic.,Save this if you need a gentler approach.,Supportive,Reframe,Save,High,Draft
51,Fertility,Ovulation signs,Ovulation is not always obvious at first glance.,A lot of people only start seeing it clearly after they notice the repeated timing and symptom changes.,Follow for more ovulation education.,Calm,Educational,Follow,High,Draft
52,Fertility,Meal support,Small food changes can matter more than you think during cycle tracking.,Energy and appetite are easier to understand when meals are part of the picture.,Save this if food affects your cycle.,Educational,Support,Save,High,Draft
53,Fertility,Noticing patterns,"The more you track, the less random it feels.",Patterns create confidence because they replace guesswork with familiarity.,Comment if tracking has helped you feel clearer.,Hopeful,Educational,Comment,High,Draft
54,Fertility,Timing,The timing of symptoms can be just as useful as the symptom itself.,"When something happens in the same window each month, it becomes a clue.",Save this for your next cycle notes.,Smart,Data,Save,High,Draft
55,Fertility,Self-trust,Learning your cycle can help you trust your body more.,That trust grows when you can compare what happened this month to what happened last month.,Follow for more body-trust tips.,Reassuring,Educational,Follow,High,Draft
56,Fertility,Emotional clarity,Not every symptom needs an immediate explanation.,Sometimes the first step is just noticing the pattern without judging it.,Comment if this would help you.,Calm,Support,Comment,High,Draft
57,Fertility,Food and hormones,"Food does not control your cycle, but it can support it.","The point is to notice the connection, not to turn every meal into a test.",Save this if you want a calmer approach.,Educational,Support,Save,High,Draft
58,Fertility,Ovulation clarity,The body often gives more clues than we expect.,"Once you know what to look for, the pattern becomes much easier to follow.",Follow for more clear cycle breakdowns.,Hopeful,Educational,Follow,High,Draft
59,Fertility,Tracking habits,Consistency matters more than perfection when you are learning your cycle.,Regular notes make it easier to see what changes and what repeats.,Comment if you track regularly.,Practical,Support,Comment,High,Draft
60,Fertility,Pattern confidence,Seeing a pattern can make the whole process feel less intimidating.,Even one clear pattern can help you feel more grounded month to month.,Save this if you want to feel more confident.,Hopeful,Reframe,Save,High,Draft
61,Perimenopause,Energy,Waking up tired no matter how much you sleep is worth noticing.,"When energy shifts start to feel constant, it can help to look at sleep, stress, food, and cycle changes together.",Save this if fatigue has been confusing lately.,Calm,Validation,Save,High,Draft
62,Perimenopause,Identity,"If you feel unlike yourself lately, you are not imagining it.","Hormonal changes can affect energy, mood, and focus in ways that feel surprisingly personal.",Comment if this resonates with you.,Reassuring,Emotional,Comment,High,Draft
63,Perimenopause,Afternoon crash,"The 3pm slump can become a real pattern, not just a bad day.","When the same energy dip keeps happening, it is worth looking at sleep, meals, and hormonal shifts.",Follow for more energy pattern education.,Direct,Educational,Follow,High,Draft
64,Perimenopause,Fatigue patterns,The exhaustion feels random until you start comparing weeks.,"Once you track it over time, the pattern often becomes clearer than you expected.",Save this if your tiredness has a pattern.,Calm,Pattern recognition,Save,High,Draft
65,Perimenopause,Hormone shifts,A lot of women think they are losing control when their hormones shift.,A more useful lens is to look for the patterns instead of assuming something is wrong with you.,Comment if this feels familiar.,Empowering,Reframe,Comment,High,Draft
66,Perimenopause,Mental health,"Hormonal changes can affect anxiety, sleep, and focus more than people admit.",Those shifts can feel confusing until you start tracking them together instead of separately.,Follow for more perimenopause education.,Smart,Educational,Follow,High,Draft
67,Perimenopause,Sleep,"If your sleep changed before your energy did, that matters.",Sleep changes often show up early when your body is moving through a transition.,Save this if sleep feels different lately.,Calm,Data,Save,High,Draft
68,Perimenopause,Clarity,"The hardest part is often not the symptom itself, but not knowing what it means.",Clarity usually starts when you can compare symptoms over time instead of reading them in isolation.,Comment if you want more clarity-based content.,Reassuring,Support,Comment,High,Draft
69,Perimenopause,Confidence,You are not becoming less capable — your body is changing.,"That shift can feel unsettling, but it becomes easier to navigate once the pattern is visible.",Follow for more practical support.,Empowering,Reframe,Follow,High,Draft
70,Perimenopause,Support,You deserve support that does not treat your symptoms like a mystery.,A clearer symptom history can make the whole transition feel more understandable.,Save this if you want gentler support.,Compassionate,Support,Save,High,Draft
71,Perimenopause,Mood,"If your mood feels more fragile lately, you are not alone.","Mood changes can travel with sleep, energy, and cycle-related shifts.",Comment if your mood has felt different.,Compassionate,Validation,Comment,High,Draft
72,Perimenopause,Brain fog,"When focus gets harder, it helps to look for the pattern.","Brain fog often makes more sense when you compare it with sleep, meals, and cycle changes.",Follow for more brain-fog breakdowns.,Smart,Data,Follow,High,Draft
73,Perimenopause,Transition,The transition feels easier when you can see what is changing.,"A lot of stress comes from the unknown, not just the symptoms themselves.",Save this if you are in a transition phase.,Reassuring,Support,Save,High,Draft
74,Perimenopause,Body trust,It is easier to trust your body when you can read the signals.,Tracking gives you a clearer view of what is changing and what keeps repeating.,Comment if body trust is something you want more of.,Calm,Educational,Comment,High,Draft
75,Perimenopause,Realistic wellness,This stage does not need more pressure — it needs better information.,A realistic approach usually works better than trying to force your old routine to fit the present.,Follow for more realistic wellness content.,Empowering,Reframe,Follow,High,Draft
76,Perimenopause,Symptoms,The symptoms are not always the whole story.,What matters is how they cluster together over time and what else changes alongside them.,Save this if your symptoms feel connected.,Educational,Data,Save,High,Draft
77,Perimenopause,Energy support,"Sometimes the biggest issue is not the tiredness itself, but how long it lasts.",Longer fatigue spells are often easier to understand when you track their timing.,Comment if fatigue has been dragging on.,Direct,Support,Comment,High,Draft
78,Perimenopause,Emotional support,This transition can feel isolating even when it is very common.,Seeing your own pattern clearly can make it feel less lonely and less random.,Follow for more support like this.,Compassionate,Support,Follow,High,Draft
79,Perimenopause,Weekly shifts,"If each week feels different, that does not mean you are imagining it.",Weekly shifts in energy and mood often reflect a body that is in transition.,Save this if your weeks feel different.,Reassuring,Validation,Save,High,Draft
80,Perimenopause,Self-understanding,A better question than ‘what is wrong with me?’ is often ‘what is changing?’,"That question opens the door to clearer, calmer self-understanding.",Comment if this reframed things for you.,Empowering,Reframe,Comment,High,Draft
81,Athletes,Strength,"Your strength changes every week, and that does not mean you are inconsistent.","Hormones, recovery, and fueling all influence how performance feels in different phases of the cycle.",Save this if your training feels phase-based.,Empowering,Performance,Save,High,Draft
82,Athletes,Workout variation,"If some workouts feel amazing and others feel impossible, your cycle may be part of the answer.",Training feels different when recovery needs and energy availability are shifting in the background.,Follow for more cycle-smart training tips.,Practical,Educational,Follow,High,Draft
83,Athletes,Recovery,Recovery is not supposed to feel identical every week.,Your body may need different support depending on where you are in the cycle and how hard you have been training.,Comment if your recovery changes too.,Smart,Recovery,Comment,High,Draft
84,Athletes,Performance data,"If you PR in one phase and struggle in another, you are probably not broken.",That pattern can be useful information instead of something to fight.,Save this if your performance changes by phase.,Empowering,Data,Save,High,Draft
85,Athletes,Gym fatigue,"Suddenly exhausted at the gym is a clue, not just a bad mood.","When fatigue shows up repeatedly, it is worth looking at cycle phase, sleep, and fueling.",Follow for more performance pattern education.,Direct,Educational,Follow,High,Draft
86,Athletes,Training smarter,More effort is not always the answer.,"Sometimes the smarter move is adjusting training, recovery, or fueling to match the phase you are in.",Comment if you want more training-smart content.,Smart,Reframe,Comment,High,Draft
87,Athletes,Fueling,Your fueling needs can change throughout the cycle.,"What works in one phase may not feel as good in another, especially with harder training blocks.",Save this if your appetite shifts with training.,Practical,Educational,Save,High,Draft
88,Athletes,Endurance,Why does your pace change so much across the month?,"A changing cycle can influence energy, recovery, and how hard the same pace feels.",Follow for more cycle-and-performance tips.,Curious,Data,Follow,High,Draft
89,Athletes,Consistency,Consistency gets easier when your plan matches your physiology.,"When the plan fits the phase, it often feels more sustainable and less forced.",Comment if this feels true for you.,Empowering,Support,Comment,High,Draft
90,Athletes,Recovery shifts,Your body may need different support than it did last week.,"That can mean more food, more rest, or a different training load than usual.",Save this if your recovery changes often.,Smart,Educational,Save,High,Draft
91,Athletes,Workload,The goal is not to push the same way all month.,"A more effective approach is learning when to build, maintain, or back off a little.",Follow for more sustainable training tips.,Practical,Reframe,Follow,High,Draft
92,Athletes,Body awareness,Your body is always giving you feedback.,Training gets easier to navigate when you start reading that feedback instead of ignoring it.,Comment if you listen to your body in training.,Educational,Data,Comment,High,Draft
93,Athletes,Energy,Energy is one of the clearest performance signals.,"If your energy keeps changing, your training plan may need to change with it.",Save this if energy affects your workouts.,Smart,Educational,Save,High,Draft
94,Athletes,Performance support,Better performance does not always come from doing more.,Sometimes it comes from recovering better and fueling more intentionally.,Follow for more performance education.,Empowering,Support,Follow,High,Draft
95,Athletes,Training pattern,A training pattern that ignores recovery usually catches up later.,"The more you match your plan to your body, the more sustainable it tends to feel.",Comment if recovery matters in your training.,Direct,Support,Comment,High,Draft
96,Athletes,Fuel timing,When you eat can matter almost as much as what you eat.,"Timing, fuel quality, and cycle phase can all affect how your training feels.",Save this if meal timing helps your workouts.,Educational,Data,Save,High,Draft
97,Athletes,Phase awareness,"If your body feels different in different phases, that is useful information.",Phase awareness can help explain why one week feels powerful and the next feels flat.,Follow for more phase-based training ideas.,Calm,Educational,Follow,High,Draft
98,Athletes,Recovery awareness,Feeling wiped after a workout is not always about the workout alone.,"Recovery gaps can show up when sleep, food, and cycle changes stack together.",Comment if recovery ever surprises you.,Smart,Data,Comment,High,Draft
99,Athletes,Body-led training,Training with your body usually works better than training against it.,That does not mean doing less — it means making smarter adjustments across the month.,Save this if you want a more sustainable approach.,Empowering,Reframe,Save,High,Draft
100,Athletes,Long-term consistency,The most consistent plan is usually the one you can actually recover from.,"When training matches your physiology, it becomes easier to repeat month after month.",Follow for more sustainable performance tips.,Empowering,Support,Follow,High,Draft
