Script ID,Audience,Content Pillar,Hook,Middle Section,Closing Line,Tone,Angle,CTA Type,Hook Strength,Viral Style
11,PCOS,Sugar,The 'just one cookie' lie hits different with PCOS.,"One cookie spikes insulin, kicks off cravings, tanks your energy, and you blame yourself by 4pm. LYNA breaks the cycle in plain English.",Download LYNA and watch the loop.,Relatable,Story,Download,Viral,Story
12,PCOS,Sleep,"If you sleep 9 hours and still wake up exhausted, your hormones are not vibing.",LYNA tracks sleep + cycle + meals together so you can see why some weeks feel like quicksand.,Try LYNA and wake up actually rested.,Calm,Educational,Try app,Viral,Punchy
13,PCOS,Testing,Your bloodwork came back 'normal' but you feel anything but. Sound familiar?,LYNA gives you the symptom data labs can't catch — so you can advocate harder with receipts.,Download LYNA and bring receipts.,Empowering,Validation,Download,Viral,Curiosity
14,PCOS,Cycle sync,Cycle syncing got popular but nobody told you HOW to actually do it with PCOS.,LYNA shows you which phase you're in (even with irregular cycles) and how to fuel each one.,Try LYNA and sync without guessing.,Educational,Curiosity,Try app,Viral,Curiosity
15,PCOS,Anxiety,Your anxiety isn't 'just stress.' It might be your insulin.,Blood sugar crashes feel identical to panic attacks. LYNA helps you tell the difference by tracking both.,Download LYNA and tell the difference.,Bold,Shock,Download,Viral,Curiosity
16,PCOS,Workouts,Crushing HIIT 5x/week and gaining weight? Your cortisol is laughing.,PCOS hates over-training. LYNA shows you when to push and when your body needs the opposite.,"Try LYNA and train smarter, not harder.",Direct,Reframe,Try app,Viral,Punchy
17,PCOS,Cravings,I ate a balanced lunch and still wanted chocolate 20 minutes later. Why??,Probably a glucose spike + drop. LYNA helps you pair meals so cravings don't run your afternoon.,Download LYNA and stabilize the day.,Relatable,Story,Download,Viral,Story
18,PCOS,Doctor visits,'Just lose weight' is not medical advice. Bring data instead.,"LYNA gives you 30+ days of cycle, symptom, and meal patterns to hand your doctor on day one.",Try LYNA and bring real data.,Empowering,Validation,Try app,Viral,Punchy
19,PCOS,Fatigue,"Why am I tired after coffee, after a nap, AND after sleeping 10 hours??",Welcome to PCOS fatigue. LYNA helps you find the meal + cycle combos that actually move the needle.,Download LYNA and find what works.,Frustrated,Story,Download,Viral,Story
20,PCOS,Healing,Healing PCOS is not a 30-day challenge. It's a pattern game.,"LYNA gives you the long-game view — small data, big clarity, every cycle.",Try LYNA and play the long game.,Calm,Reframe,Try app,Viral,Punchy
21,Endometriosis,Pain,'It's just bad cramps.' — said no woman whose endo flare made her pass out in Target.,Endo pain isn't normal pain. LYNA tracks flares + triggers so you can finally show — not tell — how bad it gets.,Download LYNA and prove the pain is real.,Bold,Shock,Download,Viral,Curiosity
22,Endometriosis,Diagnosis,The average endo diagnosis takes 7-10 years. Read that again.,LYNA helps you build a symptom timeline that could save you years of being dismissed.,Try LYNA and shortcut the silence.,Direct,Shock,Try app,Viral,Curiosity
23,Endometriosis,Flares,Yesterday: 5K run. Today: can't get off the bathroom floor.,"Endo doesn't warn you. But LYNA spots the patterns before the worst days hit, so you can prep instead of crash.",Download LYNA and stop getting blindsided.,Compassionate,Story,Download,Viral,Story
24,Endometriosis,Food triggers,"Gluten, dairy, sugar, soy, alcohol, caffeine — what's left??",LYNA helps you test foods systematically so you stop cutting everything and start finding YOUR list.,Try LYNA and find your actual triggers.,Practical,Reframe,Try app,Viral,Punchy
25,Endometriosis,Validation,"If one more person says 'have you tried yoga,' I will scream into a pillow.","LYNA exists because endo deserves data, not dismissals. Track what's real and make it visible.",Download LYNA and stop being dismissed.,Empowering,Validation,Download,Viral,Relatable
26,Endometriosis,Energy,Endo fatigue is a different planet. People who haven't lived it don't get it.,LYNA tracks the exhaustion alongside pain and cycle data so you can finally name what's happening.,Try LYNA and name what's happening.,Compassionate,Validation,Try app,Viral,Punchy
27,Endometriosis,Bowel,Endo can affect your gut more than your uterus. Nobody talks about this.,LYNA tracks digestive symptoms alongside cycle phase so the connection finally clicks.,Download LYNA and connect the dots.,Bold,Curiosity,Download,Viral,Curiosity
28,Endometriosis,Surgery prep,"If you're prepping for excision surgery, your symptom history is gold.","LYNA helps you compile months of data so your surgeon sees the full picture, not the highlight reel.",Try LYNA and arm your surgeon.,Smart,Educational,Try app,Viral,Punchy
29,Endometriosis,Mental load,The mental load of endo is invisible. Doctors don't ask. Friends don't see it.,"LYNA holds it for you — every symptom, every flare, every day — so you stop carrying it in your head.",Download LYNA and put the weight down.,Compassionate,Validation,Download,Viral,Story
30,Endometriosis,Sex,Painful sex is not something you have to 'push through.',LYNA helps you track when symptoms peak so you and your partner can stop guessing.,Try LYNA and stop suffering quietly.,Direct,Shock,Try app,Viral,Curiosity
31,Endometriosis,Anti-inflammatory,Anti-inflammatory eating is not one-size-fits-all for endo.,LYNA helps you see which foods actually reduce YOUR flare days — not someone's wellness guru.,Download LYNA and personalize the plan.,Educational,Reframe,Download,Viral,Punchy
32,Endometriosis,Period guilt,Canceling plans because of pain is not flaking. It's surviving.,LYNA helps you predict the worst days so you can plan with your body instead of against it.,Try LYNA and plan with your body.,Gentle,Validation,Try app,Viral,Story
33,Endometriosis,Rage,Endo rage is real. The hormones are loud. The pain is louder.,LYNA tracks mood + pain + cycle so you can see what's hormonal and what needs more support.,Download LYNA and decode the mood.,Bold,Validation,Download,Viral,Curiosity
34,Endometriosis,Misdiagnosis,I was diagnosed with IBS for 6 years before someone said 'endometriosis.',"Stories like this are the rule, not the exception. LYNA gives you the data to fight back faster.",Try LYNA and fight back with data.,Bold,Story,Try app,Viral,Story
35,Endometriosis,Bloating,Endo belly isn't bloating. It's inflammation that lasts for days.,LYNA helps you spot the trigger foods + cycle days behind the swell.,Download LYNA and find the swell pattern.,Smart,Curiosity,Download,Viral,Curiosity
36,Endometriosis,Hope,Endo doesn't have a cure but it has a pattern. And patterns can be worked with.,LYNA gives you the data layer so you stop guessing and start managing on YOUR terms.,Try LYNA and take some control back.,Hopeful,Reframe,Try app,Viral,Punchy
37,Endometriosis,Heating pad,"If your heating pad has a permanent indent on your couch, this app is for you.",LYNA tracks flare days so you can finally see what's helping and what's making it worse.,Download LYNA and ditch the guesswork.,Relatable,Story,Download,Viral,Story
38,Endometriosis,Hormones,Suppressing your cycle isn't the only option. But you need data to weigh it.,"LYNA tracks your symptoms over months so you can make hormone decisions with evidence, not fear.",Try LYNA and decide with data.,Educational,Empowerment,Try app,Viral,Punchy
39,Endometriosis,Tracking,Your pain journal in your Notes app is a start. LYNA is the upgrade.,"Cycle-linked tracking, flare prediction, food correlation — all in one place, finally.",Download LYNA and upgrade the tracker.,Practical,Educational,Download,Viral,Punchy
40,Endometriosis,Self-trust,You know your body. Trust the signal. The data will catch up.,"LYNA helps you turn that gut-knowing into clear, shareable evidence.",Try LYNA and trust the signal.,Empowering,Validation,Try app,Viral,Punchy
41,Fertility,TTC,Month 7 of TTC and every two-week wait feels like a horror movie.,"LYNA holds the data so you don't have to obsess. Symptoms, cycle, meals — one place, less spiral.",Download LYNA and exhale a little.,Compassionate,Story,Download,Viral,Story
42,Fertility,Ovulation,Ovulation tests said positive. Body said 'lol no.' Sound familiar?,LYNA layers symptoms + cycle data so you can see ovulation patterns those strips miss.,Try LYNA and see the full picture.,Direct,Curiosity,Try app,Viral,Curiosity
43,Fertility,Stress,'Just relax and it'll happen' is the worst advice anyone has ever given a TTC woman.,"LYNA replaces the panic-tracking with calmer, cleaner data you can actually use.",Download LYNA and lose the chaos.,Bold,Validation,Download,Viral,Punchy
44,Fertility,Nutrition,Egg quality takes 90 days to build. Read that again.,LYNA helps you track meals + cycle phase so the 90-day window actually counts.,Try LYNA and use the 90 days.,Smart,Shock,Try app,Viral,Curiosity
45,Fertility,Loss,"If you've had a loss, tracking again can feel terrifying.","LYNA is gentle on purpose. You log only what feels okay, and the patterns still emerge.",Download LYNA and go gently.,Compassionate,Validation,Download,Viral,Story
46,Fertility,Cycle clues,Your body whispers before it shouts. Most of us were taught to ignore the whispers.,"LYNA helps you read cervical mucus, energy, mood, and symptom shifts as one full signal.",Try LYNA and hear the whispers.,Educational,Reframe,Try app,Viral,Punchy
47,Fertility,TTC partner,Your partner asks how the cycle is going. You don't know what to say. Same.,LYNA gives you both a shared view of where things stand without the daily breakdown.,Download LYNA and share the load.,Relatable,Story,Download,Viral,Story
48,Fertility,Age,"'You're 35, you should hurry.' — said someone unhelpful at brunch.","LYNA helps you focus on what you CAN influence: cycle clarity, nutrition, and symptom patterns.",Try LYNA and focus on what works.,Empowering,Reframe,Try app,Viral,Punchy
49,Fertility,Apps,You've downloaded 4 cycle apps in 6 months. Still confused. Same.,"LYNA combines cycle, meals, and symptoms — so the data finally tells one story instead of five.",Download LYNA and consolidate.,Practical,Reframe,Download,Viral,Relatable
50,Fertility,Window,"If you're timing TTC by calendar math alone, you might be missing the window entirely.","LYNA reads your body's actual signals so the math is yours, not an app's average.",Try LYNA and time it right.,Direct,Shock,Try app,Viral,Curiosity
51,Fertility,Hope,One healthy cycle doesn't guarantee pregnancy. But it's a foundation worth building.,LYNA tracks the patterns that matter so each cycle teaches you something useful.,Download LYNA and build the foundation.,Hopeful,Educational,Download,Viral,Punchy
52,Fertility,IVF,"If you're prepping for IVF, your baseline data is your power move.",LYNA helps you arrive at appointments with months of pattern data — not just last week's anxiety.,Try LYNA and prep like a pro.,Empowering,Educational,Try app,Viral,Punchy
53,Fertility,Mood,TTC mood swings hit different. You don't even recognize yourself some days.,LYNA helps you see what's cycle-driven vs what needs more support so you stop spiraling.,Download LYNA and see the source.,Compassionate,Validation,Download,Viral,Story
54,Fertility,Symptoms,Was that implantation or was it just dinner? Welcome to the two-week wait.,LYNA helps you compare cycles so you can stop spiraling and start noticing patterns.,Try LYNA and survive the 2WW.,Funny,Story,Try app,Viral,Story
55,Fertility,PCOS + TTC,TTC with PCOS hits twice as hard. Irregular cycles + zero clarity.,LYNA is built for cycles that don't behave. It still finds the patterns — even when the calendar can't.,Download LYNA and track the unpredictable.,Empowering,Reframe,Download,Viral,Punchy
56,Fertility,Bloodwork,'Your bloodwork is normal' doesn't mean your body feels normal.,LYNA tracks the lived symptoms labs can't catch — so your story has receipts.,Try LYNA and back up your story.,Bold,Validation,Try app,Viral,Curiosity
57,Fertility,Tracking burnout,Charting every morning for 9 months is its own kind of grief.,"LYNA simplifies the routine without losing the insight. Track less, see more.",Download LYNA and track less.,Gentle,Story,Download,Viral,Story
58,Fertility,Community,TTC is lonely even when you have a partner. Especially when the months stack up.,LYNA gives you something to do with the waiting — and clearer data when you're ready to ask for help.,Try LYNA and feel less alone in the data.,Compassionate,Validation,Try app,Viral,Story
59,Fertility,Body literacy,Most of us were never taught how to read our own cycle. That's wild.,"LYNA changes that. Cycle phase, symptoms, fuel — all in plain English.",Download LYNA and become body literate.,Empowering,Educational,Download,Viral,Curiosity
60,Fertility,Trust,Trust your body. Verify with data. Both can be true.,LYNA gives you the data layer so your intuition isn't fighting alone.,Try LYNA and trust + verify.,Calm,Reframe,Try app,Viral,Punchy
61,Perimenopause,Sleep,3am wake-ups that won't quit? Welcome to perimenopause.,LYNA tracks sleep + cycle + meals so you can see what's making it worse — and what's actually helping.,Download LYNA and reclaim your sleep.,Direct,Story,Download,Viral,Punchy
62,Perimenopause,Rage,Perimenopausal rage is a real thing. Nobody warned us.,LYNA shows you when mood explosions cluster around hormone shifts so you can stop blaming yourself.,Try LYNA and decode the rage.,Bold,Shock,Try app,Viral,Curiosity
63,Perimenopause,Brain fog,I forgot the word for 'spoon' yesterday. I'm 41. This is not okay.,Estrogen affects memory and focus more than anyone tells you. LYNA tracks the fog so you can find what lifts it.,Download LYNA and lift the fog.,Relatable,Story,Download,Viral,Story
64,Perimenopause,Weight,Same diet. Same workouts. Suddenly 12 pounds heavier. What gives??,Perimenopause changes how your body uses fuel. LYNA helps you adjust without giving up.,Try LYNA and adjust the playbook.,Frustrated,Story,Try app,Viral,Story
65,Perimenopause,Doctor,'You're too young for perimenopause.' — said the doctor to the 38-year-old.,Perimenopause can start in your 30s. LYNA gives you the symptom data to push back when you're dismissed.,Download LYNA and push back with data.,Bold,Shock,Download,Viral,Curiosity
66,Perimenopause,Mood,Crying at insurance commercials is now a personality trait.,LYNA tracks mood + cycle + sleep so you can see what's hormonal and what needs deeper support.,Try LYNA and understand the tears.,Funny,Story,Try app,Viral,Story
67,Perimenopause,Hot flashes,Hot flashes in a meeting are a special kind of horror.,"LYNA helps you spot triggers — coffee, wine, stress, cycle phase — so you can dodge the worst ones.",Download LYNA and dodge the flush.,Direct,Story,Download,Viral,Punchy
68,Perimenopause,Identity,You're not losing yourself. Your body is rewriting the script.,LYNA helps you read the new script with data instead of guessing your way through.,Try LYNA and read the new script.,Empowering,Reframe,Try app,Viral,Punchy
69,Perimenopause,Anxiety,New anxiety in your 40s isn't a personal failing. It's a hormone shift.,LYNA tracks the anxiety alongside cycle phase so the why becomes visible.,Download LYNA and see the why.,Bold,Validation,Download,Viral,Curiosity
70,Perimenopause,Libido,Libido tanked overnight? You're not broken. You're shifting.,LYNA tracks the changes so you can advocate for the support you actually need.,Try LYNA and advocate louder.,Empowering,Validation,Try app,Viral,Punchy
71,Perimenopause,HRT,HRT is not the enemy. Misinformation is.,"LYNA gives you the symptom history to have a real, informed conversation with your provider.",Download LYNA and have the talk.,Educational,Shock,Download,Viral,Curiosity
72,Perimenopause,Strength training,Cardio used to be enough. Now your body is begging for weights.,LYNA helps you track how strength training pairs with cycle + recovery as estrogen shifts.,Try LYNA and lift heavier.,Direct,Educational,Try app,Viral,Punchy
73,Perimenopause,Joint pain,"Random joint pain that wasn't there 6 months ago? Estrogen, baby.",LYNA tracks the new symptoms most apps don't even ask about.,Download LYNA and track what changed.,Bold,Curiosity,Download,Viral,Curiosity
74,Perimenopause,Cycle changes,Periods every 23 days. Then every 41. Then nothing for two months.,LYNA is built for cycles that don't follow rules anymore. It still finds the rhythm in the chaos.,Try LYNA and track the chaos.,Calm,Reframe,Try app,Viral,Punchy
75,Perimenopause,Self-talk,You're not 'getting old.' You're going through the second puberty nobody prepares you for.,LYNA gives you the tools your first puberty deserved.,Download LYNA and prep for round two.,Empowering,Reframe,Download,Viral,Curiosity
76,Perimenopause,Friends,Half your group chat is in perimenopause and nobody's calling it that.,"LYNA helps you name it, track it, and bring the data to your next 'is this normal??' text.",Try LYNA and name the thing.,Relatable,Story,Try app,Viral,Story
77,Perimenopause,Energy crash,"If 3pm hits like a freight train, your cortisol curve is off.",LYNA tracks how meals + cycle + sleep affect afternoon energy so you can fix the dip.,Download LYNA and fix the 3pm crash.,Direct,Educational,Download,Viral,Punchy
78,Perimenopause,Doctor receipts,Walking into your doctor with 'I just feel off' is hard. Walking in with 6 months of data is power.,"LYNA builds the case for you, one log at a time.",Try LYNA and bring the receipts.,Empowering,Validation,Try app,Viral,Punchy
79,Perimenopause,Nutrition,"The diet that worked at 30 is fighting you at 42. That's biology, not failure.",LYNA helps you rebuild your meal approach to match the body you actually have now.,Download LYNA and update the plan.,Smart,Reframe,Download,Viral,Punchy
80,Perimenopause,Realness,Perimenopause can last 10 years. You deserve a tool that takes that seriously.,"LYNA is built for the long arc — tracking, learning, adapting with you.",Try LYNA and play the long game.,Compassionate,Educational,Try app,Viral,Punchy
81,Athletes,Performance,"PRs in week 2. Crying on the floor in week 4. Cycle, much?",LYNA shows you how cycle phase changes your output — so the data finally explains what training plans never could.,Download LYNA and own the cycle.,Bold,Story,Download,Viral,Story
82,Athletes,Research gap,Less than 6% of sports science research is on female athletes. SIX PERCENT.,LYNA is built on what we DO know about female physiology — and helps you fill the gaps for your own body.,Try LYNA and stop being a guinea pig.,Bold,Shock,Try app,Viral,Curiosity
83,Athletes,Luteal phase,Why is your heart rate 10bpm higher on the same easy run? Welcome to the luteal phase.,LYNA flags these shifts so you stop thinking you're losing fitness when you're just being a woman.,Download LYNA and read the data.,Direct,Curiosity,Download,Viral,Curiosity
84,Athletes,Fueling,Female athletes chronically under-fuel without knowing it.,LYNA shows you what your body actually needs across the cycle — not what a generic macro calculator thinks.,Try LYNA and fuel the work.,Smart,Educational,Try app,Viral,Punchy
85,Athletes,Recovery,'I'm just tired' is athlete code for 'I'm under-recovered.',"LYNA tracks sleep, cycle, and training load together so you spot the slide before it becomes burnout.",Download LYNA and protect recovery.,Practical,Reframe,Download,Viral,Punchy
86,Athletes,Strength,Lifting heavier in the follicular phase is not a hack. It's how your body is built.,LYNA helps you periodize strength training around the cycle you actually have.,Try LYNA and lift with biology.,Educational,Curiosity,Try app,Viral,Curiosity
87,Athletes,Period loss,Lost your period from training? That's not 'lean.' That's RED-S.,LYNA helps you track fueling + recovery so you can build back without losing your edge.,Download LYNA and protect the cycle.,Bold,Shock,Download,Viral,Curiosity
88,Athletes,Race day,Race day during your period feels like a cosmic joke. It doesn't have to be.,LYNA helps you prep nutrition + recovery for race weeks based on where your cycle lands.,Try LYNA and race prepared.,Empowering,Story,Try app,Viral,Punchy
89,Athletes,Coach,Most coaches still don't ask about your cycle. Bring the data anyway.,LYNA gives you a clean cycle + training overlay you can share in 30 seconds.,Download LYNA and educate your coach.,Direct,Educational,Download,Viral,Punchy
90,Athletes,Injuries,ACL injury risk spikes around ovulation. Most athletes are never told this.,LYNA helps you train smarter around higher-risk windows so you stay healthy longer.,Try LYNA and reduce the risk.,Bold,Shock,Try app,Viral,Curiosity
91,Athletes,Heat,Body temperature runs higher in the luteal phase. So does perceived effort.,LYNA helps you read the signals so a 'bad workout' makes sense before you spiral.,Download LYNA and read the heat.,Smart,Educational,Download,Viral,Punchy
92,Athletes,Endurance,"If your endurance tanks in week 3, that's not weakness. That's physiology.",LYNA tracks the pattern so you can plan harder weeks where they'll actually pay off.,Try LYNA and plan with physiology.,Empowering,Reframe,Try app,Viral,Punchy
93,Athletes,Carbs,Your carb needs change across the cycle. Most nutrition plans ignore this entirely.,LYNA helps you adjust fueling by phase so your training doesn't run on empty.,Download LYNA and dial in the carbs.,Practical,Curiosity,Download,Viral,Curiosity
94,Athletes,Mood,Snapping at your training partner mid-cycle? Cortisol is loud right now.,LYNA helps you spot the mood shifts before they hijack a session.,Try LYNA and protect the vibe.,Funny,Story,Try app,Viral,Story
95,Athletes,Sleep,Sleep quality drops in the second half of your cycle. That's not in your head.,LYNA tracks how sleep shifts with cycle so you can adjust training intensity in real time.,Download LYNA and adjust the load.,Direct,Educational,Download,Viral,Punchy
96,Athletes,Iron,Female athletes are chronically low on iron and don't know it.,LYNA tracks symptoms that hint at iron status so you can ask for the right labs.,Try LYNA and ask better questions.,Smart,Shock,Try app,Viral,Curiosity
97,Athletes,Pill,Training on the pill is a different game than training on a natural cycle.,LYNA tracks both so you can see how YOUR body responds — not the average study subject.,Download LYNA and run your own study.,Educational,Reframe,Download,Viral,Punchy
98,Athletes,Comparison,Stop comparing your training to male protocols. Your physiology was never the same.,LYNA gives you a female-physiology lens for the data you're already collecting.,Try LYNA and train as a woman.,Bold,Reframe,Try app,Viral,Punchy
99,Athletes,Identity,You're not 'sensitive.' You're cyclical. There's a difference.,LYNA helps you see the rhythm and use it instead of fighting it.,Download LYNA and own the rhythm.,Empowering,Reframe,Download,Viral,Punchy
100,Athletes,Legacy,Imagine training the next 10 years WITH your body instead of against it.,"That's what LYNA is for. Cycle, fueling, recovery — finally in one place, built for women.",Try LYNA and train for the long arc.,Hopeful,Reframe,Try app,Viral,Punchy
